19061,1,2,13,14,26,5,11
19060,1,11,12,18,21,8,10
19059,7,8,15,27,32,8,12
19058,3,10,13,14,32,7,11
19057,8,14,16,34,35,6,12
19056,1,7,10,12,23,6,8
19055,2,4,6,19,22,2,6
19054,2,18,23,27,30,5,10
19053,1,11,19,26,35,11,12
19052,4,10,15,20,24,7,11
19051,11,15,16,20,29,4,8
19050,4,15,16,20,35,3,12
19049,10,16,22,26,27,7,11
19048,6,10,16,29,33,5,11
19047,3,4,10,16,32,4,9
19046,2,8,14,15,35,10,12
19045,1,4,16,19,33,3,12
19044,3,6,10,12,31,1,2
19043,2,6,7,12,15,6,12
19042,4,10,13,28,33,11,12
19041,12,19,20,22,28,2,6
19040,1,3,31,32,34,1,3
19039,1,12,18,26,35,6,12
19038,5,11,16,18,27,7,12
19037,6,16,26,33,35,4,8
19036,3,9,21,28,30,1,12
19035,1,3,5,7,18,8,9
19034,8,12,15,27,30,1,2
19033,1,2,4,16,24,7,9
19032,1,4,7,11,30,7,8
19031,3,8,21,26,33,4,5
19030,7,9,13,14,33,2,4
19029,1,4,18,24,28,2,3
19028,6,22,28,29,33,2,7
19027,16,18,24,25,27,2,7
19026,10,12,15,17,19,2,3
19025,6,13,16,19,29,3,7
19024,11,17,19,29,33,8,9
19023,1,3,14,26,30,6,11
19022,1,4,14,15,21,1,5
19021,7,13,17,24,33,1,10
19020,1,8,16,27,34,3,12
19019,4,11,19,25,32,1,2
19018,3,18,19,26,34,6,12
19017,1,5,7,22,25,3,4
19016,3,5,13,16,28,2,6
19015,2,5,10,13,30,4,6
19014,12,14,20,28,31,9,11
19013,8,10,15,17,18,1,8
19012,5,9,17,18,19,7,10
19011,4,12,13,16,17,4,9
19010,3,7,24,25,27,2,12
19009,3,9,15,18,26,6,12
19008,3,8,17,20,24,6,11
19007,3,12,16,29,32,1,5
19006,14,17,19,25,30,4,8
19005,21,26,27,29,34,5,6
19004,15,16,17,31,32,3,9
19003,4,8,18,20,32,10,12
19002,2,7,14,22,31,1,7
19001,6,18,23,26,28,3,12
18154,14,22,23,26,30,3,5
18153,3,6,7,8,21,1,8
18152,2,4,5,12,28,8,11
18151,4,8,18,29,30,3,7
18150,5,12,13,31,34,10,12
18149,1,7,10,11,20,3,6
18148,2,6,24,33,34,2,3
18147,1,11,26,33,35,2,10
18146,3,8,9,13,33,1,2
18145,9,18,29,31,33,6,11
18144,6,17,18,24,31,7,11
18143,4,7,20,22,33,1,2
18142,19,24,28,29,34,10,11
18141,3,7,23,26,33,4,9
18140,1,6,8,12,15,3,4
18139,5,11,16,28,35,6,9
18138,1,23,24,28,33,4,5
18137,7,10,22,23,33,8,11
18136,3,11,12,19,21,5,11
18135,14,19,23,27,34,6,12
18134,4,5,19,31,35,2,12
18133,8,12,14,15,19,1,10
18132,3,16,22,23,27,1,4
18131,12,14,21,32,33,2,11
18130,3,4,16,18,25,1,11
18129,4,7,21,22,29,3,6
18128,11,12,14,16,26,8,9
18127,1,3,4,11,29,8,12
18126,11,13,15,21,27,5,6
18125,7,16,20,21,34,4,6
18124,8,10,12,19,20,10,11
18123,6,9,29,32,35,2,4
18122,8,9,21,30,31,5,12
18121,6,7,21,29,30,1,10
18120,21,22,25,27,30,8,9
18119,6,9,11,16,35,2,5
18118,4,5,14,21,34,6,9
18117,7,11,13,22,29,3,8
18116,1,14,17,21,33,7,10
18115,2,6,13,18,25,1,2
18114,12,18,26,28,29,5,6
18113,8,12,27,31,33,4,8
18112,3,7,8,9,29,9,10
18111,3,16,27,28,32,4,5
18110,6,19,21,27,28,3,11
18109,10,16,23,25,34,2,5
18108,9,10,24,31,32,7,12
18107,7,8,9,10,22,3,4
18106,4,14,17,24,31,1,4
18105,1,16,19,20,31,2,7
18104,1,13,14,26,28,7,11
18103,14,24,26,28,35,2,3
18102,6,7,13,22,24,10,12
18101,3,14,15,23,29,4,5
18100,6,20,21,26,30,6,9
18099,12,13,16,20,21,1,7
18098,2,15,18,25,27,5,7
18097,10,12,14,18,23,1,4
18096,13,14,20,28,34,6,10
18095,7,14,18,29,35,5,12
18094,11,16,25,30,34,8,10
18093,3,11,16,18,33,3,11
18092,5,7,14,18,19,4,10
18091,6,22,26,28,31,1,7
18090,6,20,24,33,34,4,11
18089,26,27,28,32,34,6,10
18088,8,9,21,25,33,1,8
18087,3,14,19,23,25,1,4
18086,16,22,24,29,31,4,5
18085,1,2,14,25,31,5,7
18084,6,11,17,22,35,11,12
